Roll,Dice 1,Dice 2
1,20,13
2,15,4
3,10,15
4,8,6
5,19,15
6,9,12
7,12,11
8,6,2
9,3,6
10,18,2
11,18,18
12,4,8
13,15,9
14,6,20
15,5,13
16,6,4
17,15,8
18,20,20
19,18,17
20,3,18
21,20,16
22,7,15
23,20,5
24,18,1
25,5,19
26,2,20
27,18,10
28,6,6
29,10,3
30,4,20
31,12,12
32,17,3
33,5,9
34,2,6
35,9,15
36,8,11
37,12,18
38,18,3
39,4,19
40,1,19
41,4,20
42,5,15
43,14,6
44,14,6
45,16,18
46,7,6
47,20,19
48,2,20
49,18,20
50,16,7
