"Season","Name","playerid","Month","Team","IP","TBF","H","2B","3B","R","ER","HR","BB","IBB","HBP","SO","AVG","OBP","SLG","ERA","w OBA","K/9","BB/9","K/BB","HR/9","K%","BB%","K-BB%","AVG1","WHIP","BABIP","LOB%","x FIP","FIP","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","IFH%","BUH%","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%"
"2012","Chris Sale","10603","Sept/Oct","CHW","35.0","151","39","8","0","16","16","4","12","1","2","37","0.2847","0.350993377","0.433823529","4.1143","0.341230445702871","9.5143","3.0857","3.0833","1.0286","0.2450","0.0795","0.1656","0.2847","1.4571","0.3646","0.7806","3.2291214498026","3.66608856703272","1.920000000","0.255102040","0.489795918","0.255102040","0.080000000","0.160000000","0.083333333","0.500000000","0.4500","0.3400","0.2100","0.0900","0.6100","0.3000"
"2013","Chris Sale","10603","Mar/Apr","CHW","33.0","135","28","5","0","16","15","5","10","0","3","30","0.2295","0.303703703","0.393442622","4.0909","0.310447164818093","8.1818","2.7273","3.0000","1.3636","0.2222","0.0741","0.1481","0.2295","1.1515","0.2644","0.7353","3.86046839162256","4.38118341730481","1.171428571","0.164835164","0.450549450","0.384615384","0.057142857","0.142857142","0.024390243","0.000000000","0.4891","0.3478","0.1630","0.2826","0.4239","0.2935"
"2013","Chris Sale","10603","May","CHW","31.0","112","16","3","0","3","3","1","5","0","0","31","0.1495","0.187500000","0.205607476","0.8710","0.178746043571404","9.0000","1.4516","6.2000","0.2903","0.2768","0.0446","0.2321","0.1495","0.6774","0.2000","0.9184","2.5894110975727","1.95107589130481","1.625000000","0.171052631","0.513157894","0.315789473","0.083333333","0.041666666","0.076923076","0.000000000","0.3553","0.3684","0.2763","0.1711","0.5132","0.3158"
"2013","Chris Sale","10603","Jun","CHW","42.1","172","34","5","0","17","15","3","9","1","3","53","0.2125","0.267441860","0.303797468","3.1890","0.253983132323326","11.2677","1.9134","5.8889","0.6378","0.3081","0.0523","0.2558","0.2125","1.0157","0.2981","0.6938","2.4592835938716","2.31556604330481","1.272727272","0.285714285","0.400000000","0.314285714","0.090909090","0.090909090","0.142857142","0.500000000","0.4299","0.2617","0.3084","0.1869","0.6262","0.1869"
"2013","Chris Sale","10603","Jul","CHW","30.2","129","30","4","1","11","8","3","7","1","2","35","0.2500","0.307086614","0.381355932","2.3478","0.302556572452424","10.2717","2.0543","5.0000","0.8804","0.2713","0.0543","0.2171","0.2500","1.2065","0.3293","0.8046","2.53666562394293","2.91741544430481","2.300000000","0.204819277","0.554216867","0.240963855","0.000000000","0.150000000","0.043478260","0.000000000","0.4118","0.3059","0.2824","0.1059","0.5765","0.3176"
"2013","Chris Sale","10603","Aug","CHW","43.1","181","45","6","0","20","19","7","8","0","4","44","0.2663","0.314917127","0.431137724","3.9462","0.326833851429639","9.1385","1.6615","5.5000","1.4538","0.2431","0.0442","0.1989","0.2663","1.2231","0.3220","0.7839","3.17199675602801","3.94785077630481","1.285714285","0.232000000","0.432000000","0.336000000","0.047619047","0.166666666","0.074074074","0.000000000","0.3280","0.4240","0.2480","0.1680","0.5760","0.2560"
"2013","Chris Sale","10603","Sept/Oct","CHW","34.0","137","31","5","0","14","13","4","7","0","2","33","0.2422","0.291970802","0.375000000","3.4412","0.296122204648317","8.7353","1.8529","4.7143","1.0588","0.2409","0.0511","0.1898","0.2422","1.1176","0.2967","0.7558","3.10624682736747","3.43020302530481","1.533333333","0.200000000","0.484210526","0.315789473","0.200000000","0.133333333","0.065217391","0.000000000","0.4000","0.3053","0.2947","0.2000","0.4632","0.3368"
"2014","Chris Sale","10603","Mar/Apr","CHW","27.1","104","16","4","0","7","7","1","7","0","1","29","0.1667","0.233009708","0.242105263","2.3049","0.21961639980668","9.5488","2.3049","4.1429","0.3293","0.2788","0.0673","0.2115","0.1667","0.8415","0.2273","0.7522","2.97357889224408","2.36395640388818","1.250000000","0.181818181","0.454545454","0.363636363","0.041666666","0.041666666","0.066666666","0.000000000","0.4478","0.3582","0.1940","0.2239","0.5672","0.2090"
"2014","Chris Sale","10603","May","CHW","9.0","29","1","0","0","0","0","0","1","0","0","14","0.0357","0.068965517","0.035714285","0.0000","0.054514662972812","14.0000","1.0000","14.0000","0.0000","0.4828","0.0345","0.4483","0.0357","0.2222","0.0714","1.0000","1.04111563364665","0.354472245888184","1.400000000","0.142857142","0.500000000","0.357142857","0.200000000","0.000000000","0.000000000","0.000000000","0.3571","0.2143","0.4286","0.3571","0.6429","0.0000"
"2014","Chris Sale","10603","Jun","CHW","42.0","168","37","2","0","14","13","5","8","0","3","41","0.2357","0.287425149","0.348387096","2.7857","0.285440682294126","8.7857","1.7143","5.1250","1.0714","0.2440","0.0476","0.1964","0.2357","1.0714","0.2883","0.8293","3.31925175076439","3.51320240288818","1.108695652","0.156521739","0.443478260","0.400000000","0.152173913","0.108695652","0.098039215","0.000000000","0.3621","0.3879","0.2500","0.1983","0.5603","0.2414"
